Ticker,Current Price,EPS,Growth Rate,Intrinsic Value,Undervalued
BABA,83.12999725341797,4.86,0.0,41.31,False
CVS,58.0099983215332,3.94,0.0,33.49,False
VOW3.DE,81.80000305175781,24.43,0.0,207.655,True
2318.HK,44.70000076293945,6.95,0.2,337.075,True
CEZ.PR,961.5,43.27,0.0,367.795,False
EEFT,105.51000213623047,6.88,0.2,333.68,True
BIDU,80.33000183105469,7.6,0.062,158.83999999999997,True
RYAAY,42.97999954223633,1.84,0.0,15.64,False
P911.DE,57.68000030517578,4.37,0.0,37.145,False
HAL,31.940000534057617,2.86,0.0,24.31,False
EVO.ST,983.5999755859375,62.66,0.246,3615.482,True
TUI1.DE,7.423999786376953,1.75,0.479,182.525,True
AAPL,229.8699951171875,6.07,0.0,51.595,False
